description,amount,date,type,payment_method,recurrent
Streaming,30.51,2024-01-01,EXPENSE,CREDIT_CARD,True
Plano de celular,169.24,2024-01-01,EXPENSE,DEBIT_CARD,True
Restaurante,162.12,2024-01-01,EXPENSE,BANK_TRANSFER,False
Impostos e taxas,773.33,2024-01-01,EXPENSE,BOLETO,False
Internet residencial,98.94,2024-01-01,EXPENSE,BOLETO,True
Streaming,24.18,2024-01-01,EXPENSE,BOLETO,True
Cinema e lazer,88.06,2024-01-01,EXPENSE,BOLETO,False
Seguro do veiculo,279.49,2024-01-02,EXPENSE,DEBIT_CARD,True
Plano de saude,911.04,2024-01-02,EXPENSE,BOLETO,False
Condominio,564.54,2024-01-02,EXPENSE,DEBIT_CARD,True
Conta de energia,156.51,2024-01-02,EXPENSE,PIX,True
Salario mensal,8653.74,2024-01-02,INCOME,BANK_TRANSFER,True
Dividendos,280.85,2024-01-02,INCOME,PIX,True
Viagem e hospedagem,2521.31,2024-01-02,EXPENSE,DEBIT_CARD,False
Padaria,49.81,2024-01-02,EXPENSE,DEBIT_CARD,False
Aplicativo de transporte,38.46,2024-01-02,EXPENSE,DEBIT_CARD,False
Rendimento de investimento,546.93,2024-01-03,INCOME,BANK_TRANSFER,True
Transferencia recebida,1783.81,2024-01-03,INCOME,PIX,False
Cinema e lazer,167.56,2024-01-03,EXPENSE,CASH,False
Loja de roupas,622.11,2024-01-03,EXPENSE,BOLETO,False
Aluguel residencial,1776.48,2024-01-03,EXPENSE,BANK_TRANSFER,True
Loja de roupas,124.57,2024-01-03,EXPENSE,BOLETO,False
Restaurante,245.8,2024-01-03,EXPENSE,PIX,False
Impostos e taxas,1244.93,2024-01-03,EXPENSE,BOLETO,False
Plano de saude,1166.29,2024-01-03,EXPENSE,CREDIT_CARD,True
Veterinario,351.31,2024-01-03,EXPENSE,BOLETO,False
Manutencao do veiculo,2064.95,2024-01-04,EXPENSE,CREDIT_CARD,False
Aplicativo de transporte,34.85,2024-01-04,EXPENSE,CASH,False
Estacionamento,55.15,2024-01-04,EXPENSE,PIX,False
Aluguel recebido,2388.43,2024-01-04,INCOME,PIX,True
Transferencia recebida,1435.66,2024-01-04,INCOME,PIX,False
Livraria,157.06,2024-01-04,EXPENSE,CASH,False
Aluguel recebido,2712.99,2024-01-04,INCOME,PIX,True
Restaurante,106.24,2024-01-04,EXPENSE,CREDIT_CARD,False
Plano de saude,254.68,2024-01-04,EXPENSE,CASH,True
Rendimento de investimento,222.53,2024-01-04,INCOME,BANK_TRANSFER,True
Conta de energia,115.51,2024-01-04,EXPENSE,CASH,True
Cinema e lazer,153.8,2024-01-04,EXPENSE,PIX,False
Farmacia,280.79,2024-01-05,EXPENSE,BOLETO,False
Loja de roupas,540.16,2024-01-05,EXPENSE,DEBIT_CARD,False
Dividendos,667.94,2024-01-05,INCOME,PIX,True
Academia,110.47,2024-01-05,EXPENSE,DEBIT_CARD,True
Restituicao de imposto,2047.24,2024-01-05,INCOME,PIX,False
Plano de celular,68.03,2024-01-05,EXPENSE,PIX,True
Estacionamento,27.81,2024-01-05,EXPENSE,BANK_TRANSFER,False
Combustivel,103.19,2024-01-05,EXPENSE,CREDIT_CARD,False
Salario mensal,7831.36,2024-01-05,INCOME,PIX,True
Venda de produto,1401.28,2024-01-05,INCOME,BANK_TRANSFER,False
Pet shop,125.33,2024-01-05,EXPENSE,CASH,False
Loja de roupas,592.62,2024-01-05,EXPENSE,PIX,False
Impostos e taxas,216.13,2024-01-05,EXPENSE,BOLETO,False
Doacao,77.32,2024-01-05,EXPENSE,PIX,False
Transferencia recebida,943.79,2024-01-05,INCOME,PIX,False
Rendimento de investimento,210.09,2024-01-05,INCOME,PIX,True
Restituicao de imposto,514.47,2024-01-05,INCOME,PIX,False
Streaming,58.92,2024-01-06,EXPENSE,PIX,True
Reembolso empresarial,601.02,2024-01-06,INCOME,BANK_TRANSFER,False
Manutencao do veiculo,851.13,2024-01-06,EXPENSE,BANK_TRANSFER,False
