usuario_id,idade,estado,cidade,renda_mensal_base,nivel_endividamento_base_pct,frequencia_poupanca_declarada,reserva_financeira_inicial,dependentes,objetivo_financeiro,perfil_sintetico_base,split,fonte
USR000001,31,RJ,Rio de Janeiro,3232.92,1.72,ALTA,14294.16,1,QUITAR_DIVIDAS,SAUDAVEL,TRAIN,SINTETICO
USR000002,39,ES,Serra,4813.39,25.24,BAIXA,13293.07,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000003,18,GO,Anapolis,4145.26,75.15,NUNCA,3695.26,0,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000004,50,PE,Jaboatao,2528.99,36.35,MEDIA,2099.13,1,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000005,37,PR,Maringa,4440.91,7.89,ALTA,35233.77,3,ORGANIZAR_ORCAMENTO,SAUDAVEL,TRAIN,SINTETICO
USR000006,50,GO,Goiania,11177.71,42.36,BAIXA,43634.57,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000007,37,CE,Fortaleza,3300.13,0.5,MEDIA,32393.48,0,VIAGEM,SAUDAVEL,TRAIN,SINTETICO
USR000008,27,MG,Uberlandia,5745.46,20.47,ALTA,53288.03,0,ORGANIZAR_ORCAMENTO,SAUDAVEL,TRAIN,SINTETICO
USR000009,33,ES,Vitoria,2114.81,35.05,MEDIA,1730.4,4,APOSENTADORIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000010,35,SC,Blumenau,9120.63,3.7,ALTA,64227.71,1,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000011,42,RS,Porto Alegre,6708.22,14.15,ALTA,44866.5,0,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000012,38,BA,Feira de Santana,3091.88,23.27,MEDIA,7253.05,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000013,43,BA,Vitoria da Conquista,2941.34,11.21,ALTA,27323.94,1,ORGANIZAR_ORCAMENTO,SAUDAVEL,TRAIN,SINTETICO
USR000014,45,RJ,Niteroi,2542.47,23.64,ALTA,21449.71,0,RESERVA_EMERGENCIA,SAUDAVEL,VALIDATION,SINTETICO
USR000015,38,RS,Pelotas,6800.32,28.14,MEDIA,7865.6,0,QUITAR_DIVIDAS,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000016,33,DF,Brasilia,4130.17,19.57,BAIXA,15693.55,0,COMPRAR_IMOVEL,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000017,50,PR,Londrina,9155.15,10.4,MEDIA,35247.58,1,APOSENTADORIA,SAUDAVEL,TEST,SINTETICO
USR000018,24,GO,Anapolis,7653.64,29.74,MEDIA,15983.03,2,APOSENTADORIA,EM_OBSERVACAO,TEST,SINTETICO
USR000019,25,GO,Aparecida de Goiania,8787.76,2.5,MEDIA,61167.31,1,ORGANIZAR_ORCAMENTO,SAUDAVEL,TEST,SINTETICO
USR000020,34,DF,Brasilia,9661.45,63.7,BAIXA,4426.63,0,COMPRAR_IMOVEL,EM_RISCO,TRAIN,SINTETICO
USR000021,39,ES,Vila Velha,2477.56,13.7,ALTA,19307.77,1,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000022,44,GO,Aparecida de Goiania,1948.6,42.13,MEDIA,5050.06,2,QUITAR_DIVIDAS,EM_OBSERVACAO,TRAIN,SINTETICO
USR000023,70,SP,Santos,15827.75,39.06,MEDIA,35692.64,3,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000024,27,CE,Juazeiro do Norte,3417.13,6.07,ALTA,31742.48,1,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000025,49,PR,Londrina,3149.54,10.73,ALTA,29433.44,1,ORGANIZAR_ORCAMENTO,SAUDAVEL,TRAIN,SINTETICO
USR000026,40,PE,Recife,1764.51,5.35,ALTA,10762.12,0,VIAGEM,SAUDAVEL,TRAIN,SINTETICO
USR000027,50,MG,Juiz de Fora,1925.69,31.26,MEDIA,2530.59,3,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000028,37,CE,Juazeiro do Norte,8207.18,23.68,MEDIA,29041.37,1,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000029,48,ES,Serra,3234.76,24.56,MEDIA,10099.14,2,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000030,21,BA,Salvador,8147.12,37.71,BAIXA,19685.5,3,APOSENTADORIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000031,45,RJ,Rio de Janeiro,4134.74,44.17,BAIXA,12749.7,1,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000032,38,ES,Cariacica,3119.25,57.96,NUNCA,356.06,0,VIAGEM,EM_RISCO,TRAIN,SINTETICO
USR000033,42,RJ,Niteroi,4201.48,78.61,BAIXA,360.52,0,QUITAR_DIVIDAS,EM_RISCO,TRAIN,SINTETICO
USR000034,18,SP,Sao Paulo,6472.31,16.22,MEDIA,32426.41,1,VIAGEM,SAUDAVEL,VALIDATION,SINTETICO
USR000035,57,CE,Caucaia,6821.49,19.58,MEDIA,6938.93,2,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000036,43,RS,Pelotas,5082.38,8.36,MEDIA,49330.3,1,VIAGEM,SAUDAVEL,VALIDATION,SINTETICO
USR000037,42,BA,Vitoria da Conquista,1922.34,23.47,BAIXA,3770.0,2,VIAGEM,EM_OBSERVACAO,TEST,SINTETICO
USR000038,41,ES,Serra,4556.49,56.95,NUNCA,1794.37,1,APOSENTADORIA,EM_RISCO,TEST,SINTETICO
USR000039,53,SC,Joinville,4743.13,5.63,ALTA,36715.49,0,ORGANIZAR_ORCAMENTO,SAUDAVEL,TEST,SINTETICO
USR000040,30,SC,Florianopolis,3998.36,13.84,MEDIA,33292.38,2,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000041,50,RJ,Niteroi,6874.63,20.46,MEDIA,22352.74,1,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000042,19,SP,Sorocaba,2885.42,36.45,BAIXA,1572.12,3,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000043,56,DF,Brasilia,4465.67,22.05,MEDIA,20899.78,0,RESERVA_EMERGENCIA,SAUDAVEL,TRAIN,SINTETICO
USR000044,33,RJ,Rio de Janeiro,3465.51,31.85,BAIXA,4475.68,0,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
USR000045,25,CE,Juazeiro do Norte,2494.05,35.98,MEDIA,6244.96,1,RESERVA_EMERGENCIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000046,34,ES,Vitoria,7378.64,40.82,NUNCA,7336.3,0,APOSENTADORIA,EM_RISCO,TRAIN,SINTETICO
USR000047,50,ES,Vitoria,4157.45,20.16,MEDIA,2106.59,0,ORGANIZAR_ORCAMENTO,EM_OBSERVACAO,TRAIN,SINTETICO
USR000048,41,SC,Blumenau,2852.54,21.11,BAIXA,10539.41,2,VIAGEM,EM_OBSERVACAO,TRAIN,SINTETICO
USR000049,32,SP,Sao Paulo,7566.32,13.33,ALTA,44120.61,2,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000050,37,SP,Sorocaba,3208.23,7.9,MEDIA,22058.23,1,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000051,34,SC,Florianopolis,4033.76,22.63,MEDIA,5193.32,3,APOSENTADORIA,EM_OBSERVACAO,TRAIN,SINTETICO
USR000052,34,SP,Sao Paulo,3414.52,17.93,ALTA,33449.12,2,COMPRAR_IMOVEL,SAUDAVEL,TRAIN,SINTETICO
USR000053,37,SC,Blumenau,7858.12,10.27,ALTA,32951.25,0,APOSENTADORIA,SAUDAVEL,TRAIN,SINTETICO
USR000054,37,GO,Aparecida de Goiania,3074.44,67.31,NUNCA,2626.13,1,QUITAR_DIVIDAS,EM_RISCO,VALIDATION,SINTETICO
USR000055,40,RS,Caxias do Sul,4978.37,34.47,MEDIA,7871.76,1,QUITAR_DIVIDAS,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000056,37,SP,Santos,3907.77,19.94,MEDIA,13978.81,0,QUITAR_DIVIDAS,EM_OBSERVACAO,VALIDATION,SINTETICO
USR000057,50,BA,Feira de Santana,4384.62,25.4,MEDIA,13045.68,0,QUITAR_DIVIDAS,EM_OBSERVACAO,TEST,SINTETICO
USR000058,33,RJ,Rio de Janeiro,6947.32,24.34,BAIXA,26442.04,3,COMPRAR_IMOVEL,EM_OBSERVACAO,TEST,SINTETICO
USR000059,62,RS,Pelotas,3238.82,4.66,ALTA,11893.79,0,APOSENTADORIA,SAUDAVEL,TEST,SINTETICO
USR000060,42,SC,Blumenau,3933.02,45.19,MEDIA,13590.66,4,COMPRAR_IMOVEL,EM_OBSERVACAO,TRAIN,SINTETICO
